chapter_key,chapter_name,chapter_type_code,university,district,region,status_code,is_dechartered
656,Rho Alpha Lambda,alumni,,North Carolina,Southern,Active,false
753,Rho Beta,collegiate,Portland State University,Great Northwest,Western,Active,false
657,Rho Beta Lambda,alumni,,North Carolina,Southern,Inactive,false
772,Rho Chi,collegiate,"University of Alabama, Huntsville",Alabama,Southern,Active,false
675,Rho Chi Lambda,alumni,,International,Eastern,Active,false
755,Rho Delta,collegiate,Central Michigan University,Michigan,Midwestern,Inactive,false
659,Rho Delta Lambda,alumni,,South Carolina,Southern,Active,false
756,Rho Epsilon,collegiate,"Loyola University, New Orleans",Louisiana,Southwestern,Active,false
660,Rho Epsilon Lambda,alumni,,Mississippi,Southern,Active,false
758,Rho Eta,collegiate,Eastern Kentucky University,Kentucky,Midwestern,Inactive,false
662,Rho Eta Lambda,alumni,,Alabama,Southern,Active,false
754,Rho Gamma,collegiate,Northern Kentucky University,Kentucky,Midwestern,Active,false
658,Rho Gamma Lambda,alumni,,Mississippi,Southern,Inactive,false
760,Rho Iota,collegiate,Tulane University,Louisiana,Southwestern,Active,false
664,Rho Iota Lambda,alumni,,Virginia,Eastern,Active,false
761,Rho Kappa,collegiate,Suny College at Old Westbury,New York,Eastern,Inactive,false
665,Rho Kappa Lambda,alumni,,Georgia,Southern,Active,false
116,Rho Lambda,alumni,,New York,Eastern,Active,false
762,Rho Mu,collegiate,West Texas A and M University,Texas,Southwestern,Active,false
666,Rho Mu Lambda,alumni,,Georgia,Southern,Active,false
763,Rho Nu,collegiate,Mass Inst of Tech,New England,Eastern,Active,false
667,Rho Nu Lambda,alumni,,Texas,Southwestern,Active,false
765,Rho Omicron,collegiate,West Point Academy,New York,Eastern,Active,false
669,Rho Omicron Lambda,alumni,,Florida,Southern,Active,false
771,Rho Phi,collegiate,Mississippi State University,Mississippi,Southern,Dechartered,true
674,Rho Phi Lambda,alumni,,International,Eastern,Active,false
766,Rho Pi,collegiate,Edinboro University,Pennsylvania,Eastern,Active,false
670,Rho Pi Lambda,alumni,,Georgia,Southern,Active,false
773,Rho Psi,collegiate,,Texas,Southwestern,Inactive,false
676,Rho Psi Lambda,alumni,,New York,Eastern,Active,false
767,Rho Rho,collegiate,Suny at Stony Brook,New York,Eastern,Active,false
768,Rho Sigma,collegiate,Suny at Albany,New York,Eastern,Inactive,false
671,Rho Sigma Lambda,alumni,,Georgia,Southern,Active,false
769,Rho Tau,collegiate,Evansville University,Indiana,Midwestern,Active,false
672,Rho Tau Lambda,alumni,,"Washington DC, Maryland, Delaware",Eastern,Active,false
759,Rho Theta,collegiate,Northwest Missouri State University,Missouri,Midwestern,Active,false
663,Rho Theta Lambda,alumni,,North Carolina,Southern,Active,false
770,Rho Upsilon,collegiate,Denison University,Ohio,Midwestern,Suspended,false
673,Rho Upsilon Lambda,alumni,,Alabama,Southern,Active,false
764,Rho Xi,collegiate,St. Leo University,Florida,Southern,Active,false
668,Rho Xi Lambda,alumni,,Mississippi,Southern,Active,false
757,Rho Zeta,collegiate,,South Carolina,Southern,Dechartered,true
661,Rho Zeta Lambda,alumni,,Illinois,Midwestern,Active,false
17,Sigma,collegiate,Boston University,New England,Eastern,Active,false
774,Sigma Alpha,collegiate,,Northern California,Western,Dechartered,true
677,Sigma Alpha Lambda,alumni,,"Washington DC, Maryland, Delaware",Eastern,Active,false
775,Sigma Beta,collegiate,East Tennessee State University,Tennessee,Southern,Active,false
678,Sigma Beta Lambda,alumni,,Florida,Southern,Inactive,false
794,Sigma Chi,collegiate,,South Carolina,Southern,Dechartered,true
871,Sigma Chi Lambda,alumni,,New Jersey,Eastern,Active,false
777,Sigma Delta,collegiate,Elon University,North Carolina,Southern,Active,false
