chapter_key,chapter_name,district,region,district_director_name,district_director_email,regional_vice_president_name,regional_vice_president_email
272,Eta Sigma Lambda,Northern California,Western,,,,
371,Eta Tau,Illinois,Midwestern,,,,
273,Eta Tau Lambda,Ohio,Midwestern,,,,
361,Eta Theta,Oklahoma,Southwestern,,,,
263,Eta Theta Lambda,New York,Eastern,,,,
372,Eta Upsilon,Texas,Southwestern,,,,
274,Eta Upsilon Lambda,Arkansas,Southwestern,,,,
366,Eta Xi,Michigan,Midwestern,,,,
268,Eta Xi Lambda,Oklahoma,Southwestern,,,,
359,Eta Zeta,"Washington DC, Maryland, Delaware",Eastern,,,,
261,Eta Zeta Lambda,New York,Eastern,,,,
3,Gamma,Virginia,Eastern,,,,
67,Gamma Alpha,Texas,Southwestern,,,,
167,Gamma Alpha Lambda,Virginia,Eastern,,,,
68,Gamma Beta,North Carolina,Southern,,,,
168,Gamma Beta Lambda,Kentucky,Midwestern,,,,
87,Gamma Chi,Kansas,Midwestern,,,,
187,Gamma Chi Lambda,Northern California,Western,,,,
70,Gamma Delta,Arkansas,Southwestern,,,,
170,Gamma Delta Lambda,,Midwestern,,,,
71,Gamma Epsilon,Wisconsin,Midwestern,,,,
171,Gamma Epsilon Lambda,Kentucky,Midwestern,,,,
73,Gamma Eta,Indiana,Midwestern,,,,
173,Gamma Eta Lambda,Texas,Southwestern,,,,
69,Gamma Gamma,South Carolina,Southern,,,,
169,Gamma Gamma Lambda,South Carolina,Southern,,,,
75,Gamma Iota,Virginia,Eastern,,,,
175,Gamma Iota Lambda,New York,Eastern,,,,
76,Gamma Kappa,Alabama,Southern,,,,
176,Gamma Kappa Lambda,North Carolina,Southern,,,,
103,Gamma Lambda,Michigan,Midwestern,,,,
77,Gamma Mu,North Carolina,Southern,,,,
177,Gamma Mu Lambda,Florida,Southern,,,,
78,Gamma Nu,Pennsylvania,Eastern,,,,
178,Gamma Nu Lambda,Virginia,Eastern,,,,
80,Gamma Omicron,Tennessee,Southern,,,,
180,Gamma Omicron Lambda,Georgia,Southern,,,,
86,Gamma Phi,Alabama,Southern,,,,
186,Gamma Phi Lambda,Northern California,Western,,,,
